Team,Match,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces,Average_Dif
1148.0,30.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,1.5,0.0,0.0,1.625,0.375,0.375,0.0,5.0,0.5,1.75,14.875,7.0,0.75,0.625,46.125,0.29276773296244785
1148.2,28.75,0.0,0.0,0.0,0.125,0.0,0.0,0.5,1.0,0.25,0.25,1.25,0.25,0.875,0.5,2.0,0.5,2.0,15.625,10.125,0.125,0.625,36.25,-0.17236330874486178
1197.0,26.857142857142858,0.1428571428571428,0.1428571428571428,0.0,0.5714285714285714,0.0,0.0,0.8571428571428571,1.1428571428571428,0.1428571428571428,0.0,1.0,1.4285714285714286,0.2857142857142857,0.0,5.142857142857143,0.8571428571428571,2.2857142857142856,26.142857142857142,15.571428571428571,0.1428571428571428,0.5714285714285714,47.57142857142857,0.0326519777010884
2102.0,26.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.5714285714285714,2.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,7.142857142857143,0.8571428571428571,1.7142857142857142,20.285714285714285,11.428571428571429,1.0,0.8571428571428571,47.285714285714285,0.4407392527119326
2659.0,29.25,0.0,0.0,0.0,1.125,0.0,0.125,0.625,7.5,1.625,0.75,1.25,3.0,1.125,0.375,6.5,0.75,2.375,56.5,39.125,0.75,1.0,62.25,-0.15453595681699459
3128.0,28.375,0.0,0.0,0.0,1.125,0.0,0.0,0.125,10.0,0.875,0.125,2.625,1.75,0.0,0.375,5.0,0.625,2.25,42.875,26.25,0.625,0.75,52.25,-0.03761785645564748
3128.2,25.571428571428573,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.5714285714285714,4.0,1.5714285714285714,0.1428571428571428,0.8571428571428571,2.142857142857143,0.0,0.0,5.142857142857143,0.7142857142857143,2.571428571428572,38.142857142857146,25.857142857142858,0.1428571428571428,0.5714285714285714,46.71428571428572,-0.12447145877378435
3512.0,24.571428571428573,0.1428571428571428,0.0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.5714285714285714,1.7142857142857142,0.7142857142857143,0.2857142857142857,1.0,1.2857142857142858,0.7142857142857143,0.2857142857142857,6.571428571428571,0.7142857142857143,2.0,31.857142857142858,20.428571428571427,0.5714285714285714,0.8571428571428571,54.85714285714285,0.43242061062024323
3512.2,26.714285714285715,0.0,0.1428571428571428,0.0,0.7142857142857143,0.0,0.1428571428571428,0.5714285714285714,0.0,0.5714285714285714,0.2857142857142857,1.2857142857142858,0.7142857142857143,0.2857142857142857,0.1428571428571428,8.857142857142858,1.0,1.8571428571428568,28.857142857142858,16.285714285714285,0.4285714285714285,0.7142857142857143,42.42857142857143,0.1925746009715475
3647.0,25.285714285714285,0.1428571428571428,0.1428571428571428,0.0,0.4285714285714285,0.0,0.1428571428571428,0.5714285714285714,1.1428571428571428,0.5714285714285714,0.4285714285714285,0.8571428571428571,1.7142857142857142,0.5714285714285714,0.4285714285714285,6.0,0.5714285714285714,2.571428571428572,31.428571428571427,21.428571428571427,0.5714285714285714,1.0,46.71428571428572,0.3564196962724343
3647.2,25.0,0.0,0.0,0.7142857142857143,0.1428571428571428,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.142857142857143,0.8571428571428571,1.8571428571428568,24.428571428571427,13.0,0.5714285714285714,1.0,60.42857142857143,-0.18380041468798075
3759.0,30.125,0.0,0.0,0.125,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.125,3.5,0.625,1.75,11.5,3.75,0.125,0.5,36.25,-0.04509235784136181
3863.0,32.714285714285715,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,1.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.4285714285714285,5.142857142857143,0.5714285714285714,1.8571428571428568,13.571428571428571,6.142857142857143,0.5714285714285714,0.4285714285714285,43.85714285714285,0.2603773584905661
3925.0,25.142857142857142,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,1.7142857142857142,0.0,0.1428571428571428,0.8571428571428571,0.0,0.1428571428571428,0.1428571428571428,2.2857142857142856,0.5714285714285714,2.0,8.857142857142858,3.2857142857142856,0.7142857142857143,0.4285714285714285,34.142857142857146,0.1519925857275255
4079.0,27.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375,4.5,0.25,0.375,0.875,0.375,0.0,0.5,7.5,0.625,1.875,21.375,7.0,0.75,0.625,50.625,-0.15841584158415847
4276.0,28.25,0.5,0.25,0.0,0.0,0.0,0.0,0.75,6.0,1.0,0.75,2.625,0.125,0.0,0.0,4.5,0.875,2.0,31.625,17.125,0.375,0.75,53.5,0.14081027667984194
4322.0,28.875,0.0,0.0,0.0,0.875,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.875,0.25,1.375,7.0,0.625,2.25,24.625,14.125,0.625,0.875,51.125,-0.061140285071267814
4414.0,25.857142857142858,0.0,0.0,0.1428571428571428,1.5714285714285714,0.1428571428571428,0.1428571428571428,0.7142857142857143,3.4285714285714284,1.1428571428571428,0.7142857142857143,1.2857142857142858,1.1428571428571428,0.7142857142857143,1.7142857142857142,8.0,0.8571428571428571,2.4285714285714284,47.85714285714285,32.57142857142857,0.7142857142857143,0.8571428571428571,58.85714285714285,0.24010695187165773
4414.2,24.0,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.6666666666666666,8.0,1.1666666666666667,1.5,3.5,0.0,0.0,0.0,8.333333333333334,0.8333333333333334,2.1666666666666665,41.333333333333336,21.33333333333333,0.6666666666666666,0.6666666666666666,51.5,0.6579034574174307
4415.0,27.0,0.0,0.0,0.0,0.375,0.0,0.25,0.375,0.0,0.375,0.5,2.0,1.625,0.5,0.125,8.75,0.75,2.25,31.625,20.25,0.375,0.875,49.5,-0.2156955442619076
5124.0,31.428571428571427,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,2.4285714285714284,0.0,0.0,0.0,8.571428571428571,0.8571428571428571,2.0,19.571428571428573,8.428571428571429,0.8571428571428571,0.5714285714285714,46.0,-0.3481917577796467
5199.0,29.75,0.375,0.0,0.25,0.0,0.0,0.0,0.75,6.0,0.625,0.375,3.0,2.75,0.5,0.125,6.5,0.625,2.375,44.75,28.75,0.625,0.875,61.0,0.47891112545728426
5199.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,12.0,0.0,1.0,1.0,60.0,0.1518998125745442
5887.0,25.875,0.125,0.0,0.125,0.125,0.0,0.0,0.375,0.0,0.0,0.5,0.625,0.0,0.125,0.125,3.25,0.375,2.0,10.375,5.25,0.5,0.625,46.5,0.37800154918667705
6017.0,26.428571428571427,0.1428571428571428,0.1428571428571428,0.0,0.2857142857142857,0.0,0.1428571428571428,0.2857142857142857,1.7142857142857142,1.2857142857142858,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.7142857142857143,3.7142857142857135,0.7142857142857143,2.4285714285714284,22.142857142857142,14.428571428571429,0.2857142857142857,0.5714285714285714,39.42857142857143,0.40776516339459323
6647.0,26.142857142857142,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,0.8571428571428571,0.2857142857142857,1.8571428571428568,0.2857142857142857,0.0,0.2857142857142857,7.142857142857143,0.8571428571428571,2.142857142857143,26.857142857142858,15.142857142857142,0.5714285714285714,0.4285714285714285,39.85714285714285,-0.14973435975279192
6647.2,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.2,0.6,2.2,6.8,0.4,0.4,0.6,42.0,-0.24726027397260278
7102.0,24.428571428571427,0.4285714285714285,0.1428571428571428,0.0,0.0,0.0,0.0,0.4285714285714285,4.571428571428571,0.4285714285714285,0.5714285714285714,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,8.571428571428571,0.5714285714285714,2.142857142857143,27.714285714285715,12.142857142857142,0.4285714285714285,0.2857142857142857,29.857142857142858,-0.3393817204301075
7157.0,27.125,0.25,0.25,0.0,0.375,0.0,0.125,0.625,2.5,0.875,0.625,1.375,2.875,1.25,0.25,8.25,0.875,2.125,47.125,32.75,0.5,0.75,54.5,-0.5589552238805972
7415.0,25.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.7142857142857143,0.0,0.1428571428571428,0.0,2.142857142857143,0.1428571428571428,0.2857142857142857,0.0,5.142857142857143,0.8571428571428571,2.142857142857143,16.857142857142858,7.857142857142857,0.5714285714285714,0.4285714285714285,40.57142857142857,-0.09137858347386174
8006.0,29.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.0,1.4444444444444444,0.4444444444444444,0.0,0.3333333333333333,7.777777777777778,0.7777777777777778,1.8888888888888888,17.88888888888889,6.333333333333333,0.2222222222222222,0.4444444444444444,36.55555555555556,-0.2820176261016313
8006.2,25.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,3.7142857142857135,0.5714285714285714,1.5714285714285714,8.714285714285714,1.2857142857142858,0.4285714285714285,0.5714285714285714,43.285714285714285,0.18268720127456184
9084.0,27.5,0.125,0.0,0.625,0.75,0.0,0.125,1.0,0.0,0.75,0.25,1.875,1.625,0.125,0.5,6.25,0.625,2.0,35.75,25.25,0.375,0.75,53.5,-0.05017386984600099
9282.0,18.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.8,0.0,0.0,0.2,7.2,0.8,2.0,14.0,3.4,0.0,0.4,24.6,
